day,season,weekday,workingday,weathersit,temp,windspeed,casual,registered,cnt
203,3,5,1,1,0.848333,0.1331,562,2825,3387
204,3,6,0,1,0.849167,0.131221,987,2298,3285
205,3,0,0,1,0.83,0.169171,1050,2556,3606
206,3,1,1,1,0.743333,0.0908083,568,3272,3840
207,3,2,1,1,0.771667,0.200258,750,3840,4590
208,3,3,1,1,0.775,0.183463,755,3901,4656
209,3,4,1,1,0.779167,0.178479,606,3784,4390
210,3,5,1,1,0.838333,0.174138,670,3176,3846
211,3,6,0,1,0.804167,0.168537,1559,2916,4475
212,3,0,0,1,0.805833,0.164813,1524,2778,4302
213,3,1,1,1,0.771667,0.156717,729,3537,4266
214,3,2,1,1,0.783333,0.20585,801,4044,4845
215,3,3,1,2,0.731667,0.135583,467,3107,3574
216,3,4,1,2,0.71,0.19715,799,3777,4576
217,3,5,1,1,0.710833,0.184696,1023,3843,4866
218,3,6,0,2,0.716667,0.22825,1521,2773,4294
219,3,0,0,1,0.7425,0.201487,1298,2487,3785
220,3,1,1,1,0.765,0.192175,846,3480,4326
221,3,2,1,1,0.775,0.151121,907,3695,4602
222,3,3,1,1,0.766667,0.200258,884,3896,4780
223,3,4,1,1,0.7175,0.164796,812,3980,4792
224,3,5,1,1,0.708333,0.125621,1051,3854,4905
225,3,6,0,2,0.685833,0.211454,1504,2646,4150
226,3,0,0,2,0.676667,0.222633,1338,2482,3820
227,3,1,1,1,0.665833,0.208954,775,3563,4338
228,3,2,1,1,0.700833,0.236329,721,4004,4725
229,3,3,1,1,0.723333,0.143667,668,4026,4694
230,3,4,1,1,0.711667,0.233208,639,3166,3805
231,3,5,1,2,0.685,0.139308,797,3356,4153
232,3,6,0,1,0.6975,0.104467,1914,3277,5191
233,3,0,0,1,0.710833,0.248754,1249,2624,3873
234,3,1,1,1,0.691667,0.27675,833,3925,4758
235,3,2,1,1,0.640833,0.146763,1281,4614,5895
236,3,3,1,1,0.673333,0.253108,949,4181,5130
237,3,4,1,2,0.684167,0.210833,435,3107,3542
238,3,5,1,1,0.7,0.0839625,768,3893,4661
239,3,6,0,2,0.68,0.375617,226,889,1115
240,3,0,0,1,0.707059,0.304659,1415,2919,4334
241,3,1,1,1,0.636667,0.159825,729,3905,4634
242,3,2,1,1,0.639167,0.125008,775,4429,5204
243,3,3,1,1,0.656667,0.0833333,688,4370,5058
244,3,4,1,1,0.655,0.141796,783,4332,5115
245,3,5,1,2,0.643333,0.139929,875,3852,4727
246,3,6,0,1,0.669167,0.185325,1935,2549,4484
247,3,0,0,1,0.709167,0.206467,2521,2419,4940
248,3,1,0,2,0.673333,0.212696,1236,2115,3351
249,3,2,1,3,0.54,0.343943,204,2506,2710
250,3,3,1,3,0.599167,0.0970208,118,1878,1996
251,3,4,1,3,0.633913,0.192748,153,1689,1842
252,3,5,1,2,0.65,0.124379,417,3127,3544
253,3,6,0,1,0.66,0.153608,1750,3595,5345
254,3,0,0,1,0.653333,0.115054,1633,3413,5046
255,3,1,1,1,0.644348,0.088913,690,4023,4713
256,3,2,1,1,0.650833,0.141804,701,4062,4763
257,3,3,1,1,0.673333,0.1673,647,4138,4785
258,3,4,1,2,0.5775,0.271146,428,3231,3659
259,3,5,1,2,0.469167,0.164183,742,4018,4760
260,3,6,0,2,0.491667,0.189675,1434,3077,4511
261,3,0,0,1,0.5075,0.178483,1353,2921,4274
262,3,1,1,2,0.549167,0.151742,691,3848,4539
263,3,2,1,2,0.561667,0.134954,438,3203,3641
264,3,3,1,2,0.595,0.0964042,539,3813,4352
265,3,4,1,2,0.628333,0.128125,555,4240,4795
266,4,5,1,2,0.609167,0.0783667,258,2137,2395
267,4,6,0,2,0.606667,0.0783833,1776,3647,5423
268,4,0,0,2,0.634167,0.0503792,1544,3466,5010
269,4,1,1,2,0.649167,0.1107,684,3946,4630
270,4,2,1,2,0.636667,0.118171,477,3643,4120
271,4,3,1,2,0.635,0.148629,480,3427,3907
272,4,4,1,1,0.616667,0.172883,653,4186,4839
273,4,5,1,1,0.564167,0.206475,830,4372,5202
274,4,6,0,2,0.41,0.292296,480,1949,2429
275,4,0,0,2,0.356667,0.222013,616,2302,2918
276,4,1,1,2,0.384167,0.0833458,330,3240,3570
277,4,2,1,1,0.484167,0.205854,486,3970,4456
278,4,3,1,1,0.538333,0.17725,559,4267,4826
279,4,4,1,1,0.494167,0.134954,639,4126,4765
280,4,5,1,1,0.510833,0.0223917,949,4036,4985
281,4,6,0,1,0.521667,0.0454042,2235,3174,5409
282,4,0,0,1,0.540833,0.06345,2397,3114,5511
283,4,1,0,1,0.570833,0.0423042,1514,3603,5117
284,4,2,1,2,0.566667,0.143042,667,3896,4563
285,4,3,1,3,0.543333,0.24815,217,2199,2416
286,4,4,1,2,0.589167,0.141787,290,2623,2913
287,4,5,1,2,0.550833,0.223883,529,3115,3644
288,4,6,0,1,0.506667,0.258083,1899,3318,5217
289,4,0,0,1,0.511667,0.281717,1748,3293,5041
290,4,1,1,1,0.534167,0.175379,713,3857,4570
291,4,2,1,2,0.5325,0.110087,637,4111,4748
292,4,3,1,3,0.541739,0.243339,254,2170,2424
293,4,4,1,1,0.475833,0.422275,471,3724,4195
294,4,5,1,1,0.4275,0.221396,676,3628,4304
295,4,6,0,1,0.4225,0.0926667,1499,2809,4308
296,4,0,0,1,0.421667,0.0995125,1619,2762,4381
297,4,1,1,1,0.463333,0.118792,699,3488,4187
298,4,2,1,1,0.471667,0.166658,695,3992,4687
299,4,3,1,2,0.484167,0.148642,404,3490,3894
300,4,4,1,2,0.47,0.197763,240,2419,2659
301,4,5,1,2,0.330833,0.229479,456,3291,3747
302,4,6,0,3,0.254167,0.351371,57,570,627
303,4,0,0,1,0.319167,0.176617,885,2446,3331
304,4,1,1,1,0.34,0.10635,362,3307,3669
305,4,2,1,1,0.400833,0.135571,410,3658,4068
306,4,3,1,1,0.3775,0.0820917,370,3816,4186
307,4,4,1,1,0.408333,0.136817,318,3656,3974
308,4,5,1,2,0.403333,0.271779,470,3576,4046
309,4,6,0,1,0.326667,0.189062,1156,2770,3926
310,4,0,0,1,0.348333,0.0920542,952,2697,3649
311,4,1,1,1,0.395,0.057225,373,3662,4035
312,4,2,1,1,0.408333,0.0690375,376,3829,4205
313,4,3,1,1,0.4,0.0621958,305,3804,4109
314,4,4,1,2,0.38,0.189067,190,2743,2933
315,4,5,0,1,0.324167,0.314675,440,2928,3368
316,4,6,0,1,0.356667,0.212062,1275,2792,4067
317,4,0,0,1,0.440833,0.281721,1004,2713,3717
318,4,1,1,1,0.53,0.306596,595,3891,4486
319,4,2,1,2,0.53,0.199633,449,3746,4195
320,4,3,1,3,0.456667,0.136829,145,1672,1817
321,4,4,1,2,0.341667,0.305362,139,2914,3053
322,4,5,1,1,0.274167,0.168533,245,3147,3392
323,4,6,0,1,0.329167,0.224496,943,2720,3663
324,4,0,0,2,0.463333,0.18595,787,2733,3520
325,4,1,1,3,0.4475,0.138054,220,2545,2765
326,4,2,1,3,0.416667,0.118792,69,1538,1607
327,4,3,1,2,0.440833,0.335825,112,2454,2566
328,4,4,0,1,0.373333,0.167304,560,935,1495
329,4,5,1,1,0.375,0.0988958,1095,1697,2792
330,4,6,0,1,0.375833,0.0684208,1249,1819,3068
331,4,0,0,1,0.459167,0.208954,810,2261,3071
332,4,1,1,1,0.503478,0.142122,253,3614,3867
333,4,2,1,2,0.458333,0.258092,96,2818,2914
334,4,3,1,1,0.325,0.271158,188,3425,3613
335,4,4,1,1,0.3125,0.220158,182,3545,3727
336,4,5,1,1,0.314167,0.100754,268,3672,3940
337,4,6,0,1,0.299167,0.0957833,706,2908,3614
338,4,0,0,1,0.330833,0.0839583,634,2851,3485
339,4,1,1,2,0.385833,0.0622083,233,3578,3811
340,4,2,1,3,0.4625,0.232583,126,2468,2594
341,4,3,1,3,0.41,0.266175,50,655,705
342,4,4,1,1,0.265833,0.240058,150,3172,3322
343,4,5,1,1,0.290833,0.0827167,261,3359,3620
344,4,6,0,1,0.275,0.233221,502,2688,3190
345,4,0,0,1,0.220833,0.0665417,377,2366,2743
346,4,1,1,1,0.238333,0.06345,143,3167,3310
347,4,2,1,1,0.2825,0.14055,155,3368,3523
348,4,3,1,2,0.3175,0.0609583,178,3562,3740
349,4,4,1,2,0.4225,0.268042,181,3528,3709
350,4,5,1,2,0.375,0.260575,178,3399,3577
351,4,6,0,2,0.258333,0.243167,275,2464,2739
352,4,0,0,1,0.238333,0.169779,220,2211,2431
353,4,1,1,1,0.276667,0.172896,260,3143,3403
354,4,2,1,2,0.385833,0.0615708,216,3534,3750
355,1,3,1,2,0.428333,0.2214,107,2553,2660
356,1,4,1,2,0.423333,0.047275,227,2841,3068
357,1,5,1,1,0.373333,0.274246,163,2046,2209
358,1,6,0,1,0.3025,0.190304,155,856,1011
359,1,0,0,1,0.274783,0.155091,303,451,754
360,1,1,0,1,0.321739,0.239465,430,887,1317
361,1,2,1,2,0.325,0.18845,103,1059,1162
362,1,3,1,1,0.29913,0.293961,255,2047,2302
363,1,4,1,1,0.248333,0.119412,254,2169,2423
364,1,5,1,1,0.311667,0.134337,491,2508,2999
365,1,6,0,1,0.41,0.220154,665,1820,2485
366,1,0,0,1,0.37,0.192167,686,1608,2294
367,1,1,0,1,0.273043,0.329665,244,1707,1951
368,1,2,1,1,0.15,0.365671,89,2147,2236
369,1,3,1,2,0.1075,0.1847,95,2273,2368
370,1,4,1,1,0.265833,0.129987,140,3132,3272
371,1,5,1,1,0.334167,0.167908,307,3791,4098
372,1,6,0,1,0.393333,0.174758,1070,3451,4521
373,1,0,0,1,0.3375,0.191542,599,2826,3425
374,1,1,1,2,0.224167,0.0989,106,2270,2376
375,1,2,1,1,0.308696,0.187552,173,3425,3598
376,1,3,1,2,0.274167,0.131221,92,2085,2177
377,1,4,1,2,0.3825,0.180967,269,3828,4097
378,1,5,1,1,0.274167,0.378108,174,3040,3214
379,1,6,0,1,0.18,0.187183,333,2160,2493
380,1,0,0,1,0.166667,0.251258,284,2027,2311
381,1,1,0,1,0.19,0.231358,217,2081,2298
382,1,2,1,2,0.373043,0.34913,127,2808,2935
383,1,3,1,1,0.303333,0.415429,109,3267,3376
384,1,4,1,1,0.19,0.220158,130,3162,3292
385,1,5,1,2,0.2175,0.20275,115,3048,3163
386,1,6,0,2,0.173333,0.222642,67,1234,1301
387,1,0,0,2,0.1625,0.199638,196,1781,1977
388,1,1,1,2,0.218333,0.110708,145,2287,2432
389,1,2,1,1,0.3425,0.123767,439,3900,4339
390,1,3,1,1,0.294167,0.161071,467,3803,4270
391,1,4,1,2,0.341667,0.0733958,244,3831,4075
392,1,5,1,2,0.425,0.342667,269,3187,3456
393,1,6,0,1,0.315833,0.210829,775,3248,4023
394,1,0,0,1,0.2825,0.24005,558,2685,3243
395,1,1,1,1,0.269167,0.215792,126,3498,3624
396,1,2,1,1,0.39,0.261817,324,4185,4509
397,1,3,1,1,0.469167,0.189067,304,4275,4579
398,1,4,1,2,0.399167,0.187187,190,3571,3761
399,1,5,1,1,0.313333,0.178496,310,3841,4151
400,1,6,0,2,0.264167,0.121896,384,2448,2832
401,1,0,0,2,0.265833,0.175996,318,2629,2947
402,1,1,1,1,0.282609,0.1538,206,3578,3784
403,1,2,1,1,0.354167,0.147379,199,4176,4375
404,1,3,1,2,0.256667,0.133721,109,2693,2802
405,1,4,1,1,0.265,0.194037,163,3667,3830
406,1,5,1,2,0.280833,0.116929,227,3604,3831
407,1,6,0,3,0.224167,0.289796,192,1977,2169
408,1,0,0,1,0.1275,0.409212,73,1456,1529
409,1,1,1,1,0.2225,0.167283,94,3328,3422
410,1,2,1,2,0.319167,0.141179,135,3787,3922
411,1,3,1,1,0.348333,0.1816,141,4028,4169
412,1,4,1,2,0.316667,0.091425,74,2931,3005
413,1,5,1,1,0.343333,0.205846,349,3805,4154
414,1,6,0,1,0.346667,0.190929,1435,2883,4318
415,1,0,0,2,0.28,0.253112,618,2071,2689
416,1,1,0,1,0.28,0.229083,502,2627,3129
417,1,2,1,1,0.287826,0.205717,163,3614,3777
418,1,3,1,1,0.395833,0.234471,394,4379,4773
419,1,4,1,1,0.454167,0.190913,516,4546,5062
420,1,5,1,2,0.4075,0.237567,246,3241,3487
421,1,6,0,1,0.290833,0.421642,317,2415,2732
422,1,0,0,1,0.279167,0.205229,515,2874,3389
423,1,1,1,1,0.366667,0.268033,253,4069,4322
424,1,2,1,1,0.359167,0.193417,229,4134,4363
425,1,3,1,2,0.344348,0.179117,65,1769,1834
426,1,4,1,1,0.485833,0.226987,325,4665,4990
427,1,5,1,2,0.353333,0.144904,246,2948,3194
428,1,6,0,2,0.414167,0.161079,956,3110,4066
429,1,0,0,1,0.325833,0.334571,710,2713,3423
430,1,1,1,1,0.243333,0.228858,203,3130,3333
431,1,2,1,1,0.258333,0.200875,221,3735,3956
432,1,3,1,1,0.404167,0.345779,432,4484,4916
433,1,4,1,1,0.5275,0.441563,486,4896,5382
434,1,5,1,2,0.410833,0.4148,447,4122,4569
435,1,6,0,1,0.2875,0.22575,968,3150,4118
436,1,0,0,1,0.361739,0.222587,1658,3253,4911
437,1,1,1,1,0.466667,0.207713,838,4460,5298
438,1,2,1,1,0.565,0.23695,762,5085,5847
439,1,3,1,1,0.5725,0.115062,997,5315,6312
440,1,4,1,1,0.5575,0.149883,1005,5187,6192
441,1,5,1,2,0.435833,0.113192,548,3830,4378
442,1,6,0,2,0.514167,0.110704,3155,4681,7836
443,1,0,0,2,0.4725,0.126883,2207,3685,5892
444,1,1,1,1,0.545,0.162317,982,5171,6153
445,1,2,1,1,0.560833,0.121271,1051,5042,6093
446,2,3,1,2,0.531667,0.0895583,1122,5108,6230
447,2,4,1,1,0.554167,0.117562,1334,5537,6871
448,2,5,1,2,0.601667,0.1163,2469,5893,8362
449,2,6,0,2,0.5025,0.192783,1033,2339,3372
450,2,0,0,2,0.4375,0.220775,1532,3464,4996
451,2,1,1,1,0.445833,0.386821,795,4763,5558
452,2,2,1,1,0.323333,0.187192,531,4571,5102
453,2,3,1,1,0.484167,0.291671,674,5024,5698
454,2,4,1,1,0.494167,0.31965,834,5299,6133
455,2,5,1,2,0.37,0.138067,796,4663,5459
456,2,6,0,2,0.424167,0.250617,2301,3934,6235
457,2,0,0,2,0.425833,0.172267,2347,3694,6041
458,2,1,1,1,0.433913,0.312139,1208,4728,5936
459,2,2,1,1,0.466667,0.100133,1348,5424,6772
460,2,3,1,1,0.541667,0.180975,1058,5378,6436
461,2,4,1,1,0.435,0.219529,1192,5265,6457
462,2,5,1,1,0.403333,0.300388,1807,4653,6460
463,2,6,0,1,0.4375,0.274871,3252,3605,6857
464,2,0,0,1,0.5,0.232596,2230,2939,5169
465,2,1,1,1,0.489167,0.358196,905,4680,5585
466,2,2,1,1,0.446667,0.249375,819,5099,5918
467,2,3,1,1,0.348696,0.295274,482,4380,4862
468,2,4,1,1,0.3975,0.290429,663,4746,5409
469,2,5,1,1,0.4425,0.155471,1252,5146,6398
470,2,6,0,1,0.495,0.190917,2795,4665,7460
471,2,0,0,1,0.606667,0.225129,2846,4286,7132
472,2,1,0,1,0.664167,0.284829,1198,5172,6370
473,2,2,1,1,0.608333,0.273629,989,5702,6691
474,2,3,1,2,0.463333,0.167912,347,4020,4367
475,2,4,1,1,0.498333,0.0659292,846,5719,6565
476,2,5,1,1,0.526667,0.149871,1340,5950,7290
477,2,6,0,1,0.57,0.283587,2541,4083,6624
478,2,0,0,3,0.396667,0.344546,120,907,1027
479,2,1,1,2,0.321667,0.303496,195,3019,3214
480,2,2,1,1,0.413333,0.249383,518,5115,5633
481,2,3,1,1,0.476667,0.118792,655,5541,6196
482,2,4,1,2,0.498333,0.176625,475,4551,5026
483,2,5,1,1,0.4575,0.347633,1014,5219,6233
484,2,6,0,2,0.376667,0.129975,1120,3100,4220
485,2,0,0,1,0.458333,0.116908,2229,4075,6304
486,2,1,1,2,0.464167,0.171638,665,4907,5572
487,2,2,1,2,0.613333,0.156096,653,5087,5740
488,2,3,1,1,0.564167,0.138058,667,5502,6169
489,2,4,1,2,0.56,0.133696,764,5657,6421
490,2,5,1,1,0.6275,0.162938,1069,5227,6296
491,2,6,0,2,0.621667,0.152992,2496,4387,6883
492,2,0,0,2,0.5625,0.149879,2135,4224,6359
493,2,1,1,2,0.5375,0.230721,1008,5265,6273
494,2,2,1,2,0.581667,0.296029,738,4990,5728
495,2,3,1,2,0.575,0.216412,620,4097,4717
496,2,4,1,1,0.505833,0.314063,1026,5546,6572
497,2,5,1,1,0.533333,0.236937,1319,5711,7030
498,2,6,0,1,0.564167,0.123133,2622,4807,7429
499,2,0,0,1,0.6125,0.225117,2172,3946,6118
500,2,1,1,2,0.573333,0.212692,342,2501,2843
501,2,2,1,2,0.611667,0.147392,625,4490,5115
502,2,3,1,1,0.636667,0.122512,991,6433,7424
503,2,4,1,1,0.593333,0.229475,1242,6142,7384
