TOTAL VALUE,TAX,LOT SQFT,GROSS AREA,LIVING AREA,FLOORS,ROOMS,BEDROOMS,FULL BATH,HALF BATH,KITCHEN,FIREPLACE
349.8,4400,7242,2496,1460,2,7,3,1,1,1,0
344,4327,5683,3136,1870,2,9,4,2,0,1,1
358.3,4507,6138,2500,1690,2,7,3,1,1,1,0
346.2,4355,11250,2830,1391,1.5,6,3,1,0,1,0
490.7,6173,5683,4100,2640,2,6,3,1,1,1,1
371.9,4678,7001,2320,1500,2,7,3,2,1,1,1
325.3,4092,4717,2592,1572,2,7,3,1,1,1,0
340.5,4283,8489,2368,1326,1.5,6,3,1,1,1,1
432.5,5440,7139,2340,1500,2,7,3,2,1,1,0
334.7,4210,4584,3288,1694,2,7,3,1,1,1,0
314.3,3953,7193,2740,1508,2,7,3,1,0,1,0
405.5,5101,3867,2431,1560,2,7,3,2,1,1,1
326,4101,4262,2090,1300,2,7,3,1,1,1,1
285.6,3592,5325,3060,1364,1,5,2,1,0,1,1
345.9,4351,8005,2490,1562,2,7,3,1,1,1,1
317.3,3991,7234,2289,1440,2,7,3,1,0,1,0
277.8,3494,5959,2036,1018,1,5,3,1,1,1,1
306.8,3859,7785,2038,1056,1.5,6,3,1,0,1,0
265.7,3342,3887,2364,1075,1,6,3,2,0,1,1
356.8,4488,5906,2368,2051,1,8,4,1,1,1,2
299.9,3772,5401,1800,1800,2,6,3,1,1,1,1
287.8,3620,3204,1800,1800,2,6,3,1,1,1,1
296,3723,2947,1800,1800,2,6,3,1,1,1,1
300.6,3781,4241,1800,1800,2,6,3,1,1,1,1
566.3,7124,8249,4390,2708,2,8,4,2,1,1,1
286,3597,7655,3013,1318,1.5,7,3,1,0,1,0
351.2,4418,10000,2232,1392,2,7,3,1,1,1,0
365.1,4592,5058,3362,1763,2,8,4,2,0,1,0
330,4151,6330,2644,1386,1.5,6,3,1,0,1,0
354.1,4454,4984,2441,1464,2,7,3,1,1,1,1
335.8,4224,6111,2262,1740,1,7,3,1,1,1,1
345,4340,20000,1754,845,1.5,6,3,1,0,1,0
356.4,4483,5967,3442,1836,2,8,3,2,0,1,0
379,4767,7940,3894,2436,2,8,4,2,0,1,1
352.1,4429,6003,2178,1350,2,7,3,2,0,1,0
437.3,5501,7000,2628,1680,2,6,3,2,1,1,0
404.2,5084,5488,3780,1992,1.5,8,4,2,1,1,1
283.4,3565,4774,3128,1470,1,5,2,1,0,1,1
326.4,4106,6029,2620,1265,1.5,6,3,1,1,1,0
309.2,3889,5057,2244,1224,1.5,7,3,2,0,1,0
332.9,4187,5682,2484,1488,2,7,3,1,1,1,0
260.4,3275,3819,2468,1299,1.5,6,3,1,0,1,0
339.3,4268,5651,2454,1306,1.5,6,3,2,1,1,1
307.9,3873,5005,2078,1369,2,6,3,1,0,1,0
346.3,4356,8145,2664,1546,1.5,6,3,1,0,1,1
479.1,6027,9642,2952,1872,2,7,4,2,1,1,1
335.6,4221,6475,2684,1265,1.5,6,3,1,1,1,0
261.5,3289,4175,1536,768,1,4,2,1,0,1,0
355.1,4467,5400,2650,1224,1.5,7,3,2,0,1,1
356.8,4488,5005,2660,1680,2,6,3,2,1,1,1
287.3,3614,3288,2764,1503,1.5,7,3,2,1,1,1
331.9,4175,5400,2536,1224,1.5,6,3,1,0,1,1
387.1,4869,8238,3972,1922,1,9,4,2,0,1,1
307.6,3869,5092,2539,1306,1.5,6,3,2,0,1,0
360.9,4540,5400,2508,1440,2,6,3,3,0,1,0
466.1,5863,8970,2952,1872,2,7,4,2,1,1,1
340,4277,5400,2714,1376,1.5,6,3,1,0,1,1
303.9,3823,8200,2608,1304,1,6,2,2,0,1,1
303.5,3818,4200,2670,1710,2,10,4,1,1,1,1
301.4,3791,6444,2886,1474,1.5,6,3,1,1,1,1
339.9,4275,5035,3264,1523,1,6,2,1,0,1,0
281.3,3538,3960,2590,1630,2,8,4,2,1,1,1
530.1,6668,6227,4013,2359,2,8,4,2,1,1,0
310.4,3904,3150,2456,1620,2,7,4,1,1,1,1
344.6,4335,8151,4532,2056,1,5,2,1,2,1,1
525.1,6605,6257,4124,2494,2,9,4,2,0,1,1
285.3,3589,5024,2556,1306,1.5,6,3,2,0,1,0
302.3,3802,4200,2272,1352,2,8,3,1,0,1,1
243.3,3060,3150,2496,1420,1.5,4,2,1,0,1,1
334.9,4213,6012,3185,1911,2,7,3,1,1,1,0
327.5,4119,5968,3216,1839,2,7,3,1,1,1,0
586.6,7379,8890,4791,2774,2,9,4,3,1,1,1
347.3,4369,7355,3516,1980,2,7,3,1,1,1,0
267.6,3366,5077,876,876,1,5,2,1,0,1,0
274.2,3449,3617,2784,1435,1.5,5,2,1,1,1,1
404.6,5089,6253,3077,1989,1,6,4,3,0,1,1
339.9,4275,6300,1730,1625,1,7,4,1,1,1,1
420.8,5293,7861,4182,2888,1,12,4,2,1,1,0
283.5,3566,4200,2488,1484,2,6,3,1,1,1,0
620.3,7803,6255,6016,3446,2,10,4,3,1,1,2
346.3,4356,4050,2756,1150,1,6,3,1,1,1,1
295.07,3711,5131,1840,1486,1.5,6,4,2,0,1,0
297.6,3743,3628,2736,1680,2,7,3,1,1,1,1
310.7,3908,6001,2124,2074,1,10,4,2,0,2,2
442.6,5567,4800,3960,2282,2,6,3,2,1,1,1
277.5,3490,4050,2108,1014,1,6,3,1,1,1,1
310.6,3907,3639,2784,1421,1.5,7,3,1,1,1,1
327.1,4114,6754,2705,1340,1,6,3,1,0,1,1
307.5,3868,2100,2244,1400,2,6,3,1,1,1,1
243.3,3060,4200,2508,1120,1,6,3,1,1,1,1
352.8,4438,6001,1964,1826,1,8,3,1,1,1,1
258.6,3253,5460,2188,1080,1,6,2,1,0,1,1
295.5,3717,4050,2592,1387,1.5,6,3,1,1,1,1
490.7,6173,6011,4368,2483,2,9,3,2,1,1,1
330.3,4155,6317,2385,1440,2,6,3,1,1,1,0
290.8,3658,6850,2568,1414,1.5,6,2,1,1,1,1
350.7,4411,9600,4063,1636,1,9,3,2,0,2,0
301.1,3787,6000,2098,1696,1,7,5,1,1,1,2
278.7,3506,6400,2161,1633,1,8,4,2,0,1,1
298.2,3751,5824,2696,1120,1,6,3,1,0,1,0
249,3132,4200,1976,988,1,5,2,1,0,1,1
287.5,3616,6000,2347,1781,1,8,4,1,1,1,0
434.3,5463,13267,3813,1931,1.5,6,2,1,1,1,1
508.8,6400,3911,3836,2416,2,7,4,3,1,1,1
338.8,4262,10537,2100,1380,2,7,3,1,1,1,1
363.5,4572,7468,2815,2035,2,10,4,2,1,1,0
335.3,4218,6400,3404,2612,1,7,4,1,1,1,1
353.5,4447,12600,2910,1347,1,6,3,1,1,1,1
291.5,3667,6000,2080,2028,1,8,4,1,1,1,0
325.8,4098,4900,2835,1659,2,8,4,2,0,1,1
368.2,4631,7200,3223,1669,2,7,3,1,1,1,0
361.7,4550,6000,2530,1590,2,7,4,2,0,1,0
286.3,3601,6000,2296,1781,1,8,4,1,1,1,0
315.7,3971,6400,2198,1633,1,8,3,1,1,1,1
282.4,3552,7770,1800,900,1,5,2,1,0,1,1
337.5,4245,5914,2594,1131,1,6,3,1,0,1,0
320.1,4026,5290,2800,1824,2,7,4,2,0,1,0
272.9,3433,2800,2663,1430,2,6,3,1,1,1,0
243.2,3059,4868,1628,800,1,5,2,1,0,1,1
305,3836,7448,2358,1306,1.5,8,3,2,0,1,1
277.7,3493,2800,2324,1306,1.5,7,3,2,0,1,1
316.9,3986,4449,2302,1208,1.5,6,3,1,2,1,0
297.1,3737,6000,2456,1997,1,7,3,1,1,1,0
467,5874,4800,3924,2206,2,9,4,2,2,1,1
302.4,3804,7440,2040,900,1,6,3,1,0,1,0
253.2,3185,4200,2507,1403,1.5,6,2,2,0,1,1
375.1,4718,6000,2370,1590,2,7,4,2,1,1,0
242.9,3055,4151,2068,1248,2,7,3,1,0,1,0
307.1,3863,6000,2308,2009,1,9,3,2,0,1,0
274.1,3448,6781,2064,1000,1,5,2,1,0,1,1
237,2981,3200,1292,1020,2,6,3,1,0,1,0
253,3182,6300,2507,1155,1,6,3,1,0,1,1
299.4,3766,6081,2212,1082,1,5,3,1,1,1,1
286.9,3609,7912,1848,864,1,6,3,1,0,1,1
327.5,4119,6000,2466,1590,2,7,3,1,1,1,0
367.5,4623,4895,2728,1800,2,7,4,2,1,1,1
308,3874,5160,2658,1452,2,7,3,2,0,1,0
516.7,6500,6000,4623,2597,2,11,4,2,1,1,1
348.7,4386,7000,2467,1954,1,9,4,2,0,1,1
367.1,4618,6750,2216,1216,1,8,3,2,0,2,1
299.4,3766,3900,3475,1754,2,7,3,2,1,1,0
296.5,3729,7416,2164,1082,1,6,2,1,1,1,0
360,4528,4544,2704,1800,2,6,3,2,1,1,1
325.9,4099,3500,2632,1632,2,6,3,2,0,1,1
360.8,4538,6000,2466,1590,2,7,4,1,1,1,0
283,3560,3200,2120,1410,2,7,3,1,1,1,1
368,4629,2295,2718,1728,2,7,3,2,1,1,1
297.8,3746,7442,2438,1204,1,6,3,1,0,1,1
239.9,3017,2800,2364,1306,1.5,7,3,1,0,1,0
293.7,3694,6548,2164,1082,1,5,2,1,0,1,1
412.4,5187,6000,2991,1680,2,6,3,1,1,1,1
382,4805,7300,2524,1590,2,7,4,1,1,1,0
275,3459,4294,2295,1470,2,7,3,1,1,1,1
318.2,4002,8001,3228,1408,1,5,2,1,0,1,0
266.3,3350,6089,2180,1082,1,5,3,1,0,1,0
282.2,3550,4392,2773,1568,2,7,3,1,0,1,0
325.2,4091,5950,2448,2293,1,8,3,1,1,2,0
287.8,3620,6750,2060,960,1,6,3,1,0,1,1
354.2,4455,6000,2936,1650,2,8,3,2,0,1,0
289.5,3641,4335,2087,1326,2,7,3,1,1,1,1
186.3,2343,4300,1926,960,1,5,2,1,0,1,1
398.1,5008,7287,2892,1800,2,6,3,2,0,1,0
283.5,3566,4824,1795,933,1.5,7,3,2,0,1,0
254.5,3201,5095,2184,1082,1,5,3,1,0,1,1
303.9,3823,6000,1904,1228,2,6,3,1,1,1,0
262.1,3297,2100,1800,972,1.5,6,3,1,1,1,0
273.1,3435,7258,1992,900,1,5,2,1,0,1,1
210.9,2653,4281,2047,900,1,5,2,1,0,1,0
272.4,3426,4416,2413,1083,1,8,3,1,1,1,1
279.6,3517,6026,2376,1487,1,9,3,1,1,1,0
348.9,4389,5300,2616,1966,1,8,3,1,1,1,0
325.2,4091,6750,2710,1305,1.5,6,3,1,1,1,1
323,4063,2100,2414,1544,2.5,6,3,1,0,1,0
337.3,4243,6730,2926,1871,2,7,3,2,1,1,0
182.7,2298,1616,1439,856,2,5,2,1,0,1,0
285.8,3595,5144,2732,1539,1.5,6,3,1,1,1,0
259,3258,4200,2962,1744,2,6,3,1,0,1,0
331.1,4165,5307,2232,1726,1,8,4,1,1,2,0
329.2,4141,5663,2212,1320,2,7,3,1,1,1,0
239.3,3010,3420,2107,1310,2,6,3,1,0,1,0
272,3421,6073,1928,900,1,5,2,1,0,1,1
207.9,2615,2968,2027,938,1.5,5,2,1,0,1,0
294.4,3703,6750,2216,1000,1,5,2,1,1,1,1
312.5,3931,6099,2638,2156,1,6,3,2,0,1,0
401.7,5053,8056,3156,1976,2,8,4,2,1,1,1
288.5,3629,3150,2342,1467,2,7,4,1,1,1,0
305.4,3841,6291,2126,1380,2,6,3,1,1,1,0
283.9,3571,4200,2697,1552,2,7,3,1,0,1,0
272.2,3424,5507,2592,1469,1.5,7,2,2,0,1,0
271.3,3412,5769,2136,1487,1,6,2,1,1,1,0
300.2,3776,6444,2808,1469,1.5,6,2,2,0,1,0
279.8,3519,6720,2492,1246,1,6,3,1,0,1,1
509.4,6408,24677,6100,2601,1.5,8,5,3,0,1,0
298.9,3760,7133,2408,1008,1,6,3,1,0,1,1
325,4088,3850,2235,1276,2,8,3,1,1,1,0
356,4478,6750,2526,1200,1,7,3,1,0,1,1
241.3,3035,3360,2119,1105,1.5,6,2,1,1,1,0
314.3,3953,7109,2239,1380,2,8,3,1,1,1,0
366.3,4608,6327,3156,1976,2,7,4,2,1,1,1
323.1,4064,5643,3048,1896,2,8,4,1,1,1,0
286.9,3609,6044,2634,1469,1.5,5,2,1,0,1,0
293.2,3688,7408,2459,984,1,5,2,1,1,1,1
293.8,3696,5835,2680,1469,1.5,6,3,1,1,1,0
167.6,2108,1980,1502,690,1,3,1,1,0,1,0
253.3,3186,3402,2057,1350,2,6,3,1,1,1,0
269.3,3387,3850,1816,1152,2,6,2,1,0,1,0
310.2,3902,7200,2370,1364,2,5,2,1,1,1,0
217.9,2741,3360,2160,1008,1,6,3,1,0,1,1
395,4969,4291,2815,1684,2,6,3,1,1,1,0
298.5,3755,6514,2118,1380,2,8,3,1,1,1,0
561.8,7067,9604,3960,2455,2,8,4,2,1,1,1
220,2767,3205,2117,1061,1.5,6,3,1,0,1,0
334.4,4206,7622,2896,1510,1.5,6,3,1,1,1,1
331.2,4166,7796,2760,1469,1.5,7,3,2,0,1,0
311.9,3923,6750,2336,1140,1,7,2,2,0,1,2
286.3,3601,3628,2232,1056,1,5,2,1,0,1,1
311.9,3923,13209,2304,1075,1,6,3,1,1,1,1
144.6,1819,1017,1293,797,1.5,5,2,1,0,1,0
292.5,3679,5602,2643,1469,1.5,6,2,1,1,1,0
233.7,2939,3360,2409,1008,1,6,3,2,1,1,1
287.8,3620,6000,2116,1726,1,6,4,2,0,2,0
309.5,3893,5958,2431,1560,2,6,3,1,1,1,0
278.4,3502,4343,2064,912,1,6,3,2,0,1,1
222.4,2797,3850,1832,1188,2,5,2,1,1,1,0
319.9,4024,6539,3045,1712,1.5,8,1,1,0,1,1
306.5,3855,6021,2092,1016,1,6,3,2,0,1,1
240.9,3030,3728,1698,936,1.5,6,3,1,0,1,0
270.7,3405,5013,2339,1497,2,6,3,1,0,1,0
314.2,3952,3486,2344,1713,1,8,4,2,0,1,1
306.5,3855,6000,1984,968,1,6,3,2,0,2,1
402.5,5063,5981,3434,2369,2,9,4,2,0,1,1
358.4,4508,12853,2329,1625,2,7,4,2,0,1,1
309.1,3888,6794,2260,1577,1,8,3,1,1,1,0
348.9,4389,4311,2972,1529,1.5,6,3,1,1,1,1
331.3,4167,8323,2116,1966,1,8,4,1,1,2,0
562,7069,7682,4184,2724,2,8,4,2,1,1,1
246.4,3099,3780,2412,1008,1,6,2,2,0,1,1
298,3748,5931,2912,1533,1.5,8,3,1,1,1,0
287.2,3612,6750,2344,1000,1,5,2,1,0,1,1
279.4,3514,6540,2304,1075,1,6,3,1,0,1,1
308.9,3885,13051,2324,1075,1,6,3,1,0,1,1
273.6,3441,4200,2428,1075,1,7,3,1,0,1,1
400.8,5042,4117,2744,2079,2,7,3,2,0,1,1
338,4252,6000,2244,2134,1,7,3,1,1,1,0
294.3,3702,4486,2612,1378,1.5,6,3,1,1,1,1
357.7,4499,6057,2636,1966,1,6,3,1,0,1,0
319.1,4014,4386,2504,1313,1.5,7,3,2,0,1,0
206,2591,2436,2476,1265,1.5,5,3,1,0,1,0
282.1,3548,4603,2531,1426,2,7,3,1,1,1,0
282.4,3552,5401,2016,968,1,5,3,1,0,1,1
293.9,3697,5110,2412,1306,1.5,6,3,1,1,1,1
322.4,4055,5981,2504,1506,1.5,7,3,1,0,1,1
337.2,4241,13250,2508,1075,1,6,3,1,1,1,1
313.7,3946,4288,2368,1368,2,9,4,1,1,1,1
280.2,3524,4200,2164,1200,2,6,3,1,1,1,1
297.8,3746,5975,2628,1469,1.5,7,3,2,0,1,0
474.4,5967,5604,3526,2118,2,8,4,2,1,1,0
269,3384,5301,3714,2428,2,9,5,2,0,1,0
313.6,3945,4998,2203,1589,1,7,3,1,1,1,2
322.1,4052,7163,2116,1487,1,7,3,1,1,1,0
204.9,2577,4200,2296,990,1,5,3,1,0,1,1
563.1,7083,9021,4065,2605,2,8,4,2,1,1,1
313.1,3938,4696,2184,1368,2,7,4,1,1,1,1
282.5,3553,6000,2212,1538,1,8,3,1,1,1,0
337,4239,6047,2568,1490,1.5,7,3,2,0,1,1
331.2,4166,13494,2340,1306,1.5,6,3,2,0,1,1
311.1,3913,6000,2140,1966,1,7,3,2,0,1,0
355.9,4477,5998,2184,1726,1,8,4,2,0,1,0
315,3962,6725,2064,1372,2,6,3,1,1,1,1
177.4,2231,3624,821,600,1,5,2,1,0,1,0
298.1,3750,6000,2212,1692,1,7,3,1,1,1,0
331,4163,3603,3063,1612,2,5,2,1,0,1,0
396.8,4991,14065,2424,1306,1.5,9,3,2,1,1,1
349.3,4394,5050,3502,1842,2,9,3,1,1,1,0
338.2,4254,9733,2902,1377,1.5,6,3,2,0,1,0
276.6,3479,4200,2000,1200,2,6,3,1,1,1,1
255,3207,4200,1940,970,1,7,3,1,1,1,1
277.7,3493,4759,1989,918,1,5,3,1,1,1,1
347.9,4376,4269,2236,1368,2,6,4,1,1,1,1
440.2,5537,8247,3210,1980,2,7,3,1,0,1,1
357.3,4494,7939,2136,1726,1,9,4,1,1,1,0
558.8,7029,8317,4133,2605,2,8,4,2,1,1,1
305,3836,3861,2191,1369,2,7,4,1,1,1,1
322.4,4055,4265,2307,1350,2,6,3,1,1,1,0
105,1320,997,1319,504,1,4,2,1,0,1,0
380.6,4787,6074,2668,2014,1,8,3,2,0,2,1
350.1,4404,14707,3057,1529,1.5,7,4,2,0,1,1
302.8,3809,5975,2326,1380,2,7,3,1,1,1,0
310.7,3908,6465,1948,1404,1,5,3,1,1,1,1
290.2,3650,6000,2212,1692,1,7,3,1,1,1,0
320.2,4028,6047,2486,1387,1.5,6,3,2,0,1,1
313.6,3945,8104,3202,1492,1,5,3,1,1,1,1
320,4025,4411,2284,1558,1,7,3,1,1,1,2
282.2,3550,5823,2100,1320,2,6,3,1,1,1,0
287.4,3615,5277,2092,952,1,7,3,1,1,1,1
336.6,4234,4200,3870,1953,1.5,7,3,1,1,2,0
307.2,3864,6100,2184,1583,1,8,3,1,1,1,0
277,3484,4749,1953,1404,1,7,3,1,1,1,1
347.2,4367,10050,3104,1706,2,8,3,1,2,1,1
201,2528,4435,2823,1637,2,7,4,1,1,1,0
353.5,4447,9747,2100,1726,1,9,4,2,0,2,0
423.4,5326,9730,2776,2188,1,8,3,2,0,2,0
323.5,4069,6022,3246,1679,1.5,7,3,1,1,1,0
576,7246,6864,5122,3108,2,8,4,2,1,1,1
301.1,3787,6271,1530,1360,1,8,4,2,0,1,1
374,4704,7550,2623,1306,1.5,6,3,1,0,1,1
300,3774,5975,2736,1469,1.5,7,3,1,1,1,0
348.8,4387,5999,2556,1966,1,7,3,1,1,1,0
308.6,3882,5742,2120,1320,2,7,3,1,1,1,0
320.9,4036,8088,2240,1726,1,8,3,2,0,1,0
326.8,4111,4880,2556,1354,1.5,6,3,2,0,1,1
354.4,4458,6710,3196,1786,2,7,3,2,0,1,0
265.3,3337,7045,2697,1378,1.5,6,3,1,1,1,0
376.2,4732,2700,2448,1536,2,8,3,2,1,1,1
296.9,3735,4659,1984,1404,1,5,3,1,0,1,1
252.985,3182,7270,2210,1326,2,7,3,1,1,1,0
339.1,4265,5273,2769,1734,2,7,5,2,0,1,1
299.4,3766,4949,2088,1726,1,6,3,2,0,1,0
323.5,4069,5204,2508,1402,1.5,6,3,1,1,1,1
359.3,4519,5918,2574,1930,1,8,4,2,0,2,0
361.7,4550,5376,2156,1370,2,7,4,1,1,1,0
256.4,3225,2410,2535,1632,2,7,3,2,0,1,0
236.7,2977,3248,1620,1270,2,6,3,1,0,1,0
250.3,3148,4270,2017,1232,2,6,3,1,0,1,0
340.7,4286,5941,2712,1469,1.5,7,3,2,0,1,0
312.5,3931,5939,3160,1609,1.5,7,3,1,1,1,0
287.4,3615,6100,2076,1701,1,7,3,1,1,1,0
320.8,4035,6000,2425,1151,1,7,3,1,1,1,1
329.4,4143,6043,2628,1536,1.5,7,4,1,0,1,1
307.4,3867,10067,2238,1726,1,8,4,1,1,1,0
327,4113,10030,2344,1275,1.5,6,3,1,0,1,1
406.9,5118,6756,2604,1680,2,7,3,2,0,1,1
270.4,3401,5246,2568,1360,1.5,6,3,2,0,1,1
278.6,3504,6076,2264,1320,2,6,3,1,1,1,1
392,4931,5671,3412,2010,2,9,4,2,0,1,1
310.7,3908,4407,1968,1404,1,6,3,1,1,1,0
283,3560,4514,2140,1404,1,5,3,1,1,1,1
353.5,4447,5885,2418,1930,1,9,4,2,0,2,0
302.3,3802,6043,2244,1641,1,8,3,2,0,1,0
424.9,5345,5518,2500,1560,2,6,3,1,1,1,0
348.3,4381,5441,2416,1726,1,8,4,2,0,1,1
354.3,4457,9351,2296,1247,1,7,4,1,1,1,0
297.9,3747,5151,2652,1469,1.5,7,3,2,0,1,0
327.2,4116,6042,2840,1550,1.5,7,3,1,0,1,1
306.1,3850,6877,2240,1808,1,6,3,1,1,1,0
428.2,5386,5965,2998,1637,1.5,8,3,3,0,1,1
366.3,4608,5662,2805,1750,2,7,4,2,0,1,1
263.1,3309,5273,2448,1306,1.5,6,2,1,0,1,1
388.7,4889,5775,2906,1469,1.5,8,3,3,0,1,0
313.6,3945,5715,2540,1940,2,6,3,1,1,1,1
263,3308,4473,1961,1404,1,7,4,1,1,1,0
241.3,3035,4410,1964,1404,1,7,3,1,1,1,0
326,4101,6194,2816,1311,1,5,2,1,0,1,1
301,3786,6200,2067,1726,1,6,3,2,0,1,0
272.6,3429,5246,2488,1306,1.5,7,4,2,0,1,1
301.6,3794,6000,2166,1726,1,6,3,1,1,1,0
366.8,4614,7128,2156,1726,1,6,2,2,0,1,0
311,3912,5981,2364,1320,2,6,3,1,1,1,0
282.5,3553,6000,2116,1726,1,5,3,1,1,1,0
301.2,3789,5658,2640,1464,1.5,7,3,1,1,1,0
298.8,3758,5963,2592,1469,1.5,6,3,2,0,1,1
317.8,3997,6197,2294,2059,1,6,3,1,0,1,1
371.9,4678,5695,2712,1469,1.5,6,2,2,1,1,0
275.9,3470,7548,2552,1075,1,6,2,1,0,1,1
297.7,3745,5700,2936,1641,1.5,6,2,2,0,1,0
332.4,4181,7889,3588,1939,1.5,8,4,2,0,1,1
297.1,3737,7917,2016,1487,1,7,3,1,1,1,0
323.5,4069,7912,2842,1469,1.5,7,3,2,0,1,0
306.4,3854,5273,2451,1075,1,6,2,1,1,1,1
306.3,3853,5914,2120,1726,1,8,4,2,0,1,0
280.6,3529,4410,1944,1404,1,6,3,1,1,1,0
292.4,3678,4463,2298,1404,1,6,3,1,0,1,0
307.2,3864,6691,2400,1863,1,6,3,1,1,2,0
275.5,3465,4800,2392,1109,1,6,3,1,0,1,1
259.1,3259,5273,2796,1155,1,6,2,1,0,1,1
267.3,3362,4298,2623,1128,1,7,3,1,1,1,1
334.9,4213,4860,3314,1792,2,7,3,1,1,1,0
300.1,3775,5608,2311,1125,1,5,3,1,0,1,0
332.4,4181,9820,2600,1306,1.5,6,2,1,0,1,1
278.1,3498,11541,3508,1779,1.5,5,2,1,0,1,0
350.3,4406,4654,3256,1755,1.5,9,4,2,0,1,0
353.3,4444,6203,2160,1870,1,8,3,1,1,1,0
213.4,2684,1696,2496,1518,2,7,4,1,0,1,0
297.9,3747,5759,2624,1306,1.5,7,4,1,1,1,0
316.7,3984,6004,2845,1726,1,7,3,1,1,1,0
339,4264,10370,2836,1435,1.5,7,3,2,0,1,0
340.1,4278,5712,3336,2036,2,7,3,1,1,1,1
264.5,3327,5963,2041,1008,1,7,3,1,0,1,0
281.9,3546,5739,2100,1726,1,7,3,1,1,1,0
312.7,3933,5633,2732,1469,1.5,6,2,2,0,1,1
290,3648,7280,2160,1487,1,5,3,1,1,1,0
267,3358,3138,2468,1520,2,6,3,1,1,1,0
289.8,3645,4253,2792,1428,1.5,7,3,1,0,1,1
295.5,3717,6298,2218,1726,1,6,3,1,1,1,0
298.1,3750,6506,2160,1966,1,8,3,1,1,1,0
288.2,3625,4159,2356,1306,1.5,6,2,1,0,1,1
281.9,3546,8318,2376,1075,1,6,3,1,0,1,1
276.3,3475,7439,2459,1075,1,6,3,1,0,1,1
329.7,4147,19466,2563,1075,1,7,3,1,1,1,1
286.5,3604,4272,3084,1512,1,8,3,1,1,1,1
348,4377,10493,2204,1320,2,7,3,1,1,1,0
289.4,3640,5211,2085,984,1,6,2,1,0,1,1
325.5,4094,6083,2422,1472,2,7,3,1,1,1,0
306,3849,6031,2116,1966,1,8,3,1,1,2,0
309.2,3889,6000,2424,1870,1,9,4,1,1,1,0
293.2,3688,7035,2032,978,1,5,3,1,0,1,1
295.7,3719,5836,2736,1469,1.5,7,3,2,0,1,0
282.6,3555,5963,2136,1008,1,7,3,1,1,1,0
342.5,4308,3500,2520,1536,1.5,5,2,2,0,1,0
204.1,2567,3854,2022,962,2,6,3,1,1,1,0
346.5,4358,7680,2581,1354,1.5,6,2,1,1,1,1
290.3,3651,4047,2328,1440,2,7,4,2,0,1,1
273.1,3435,5356,1968,941,1,5,2,1,0,1,1
298.7,3757,4310,2640,1428,1.5,6,2,1,1,1,1
325.7,4097,6895,2066,1966,1,7,3,1,1,1,0
338.3,4255,6406,2066,1726,1,8,4,2,0,1,0
265.9,3345,6946,2339,1075,1,6,3,1,0,1,1
